9594,617344,617255,37.48670,9594,9594,11,'Store Torvegade',21,27,20,20,'','','','',7552,7552,3700,3700,407,8060,0,'',0,10,2,1.293,'','','',10323895,'01/31/01',2003177
9598,617255,617126,62.29329,9598,9598,11,'Store Torvegade',29,39,22,24,'','','A','',7552,7552,3700,3700,407,8060,0,'',0,10,2,2.149,'','','',10323895,'01/31/01',2003810
9610,617611,617342,113.32100,9610,9610,11,'Store Torvegade',3,17,6,18,'','','','',7552,7552,3700,3700,407,8060,0,'',0,10,2,3.910,'','','',10323895,'01/21/02',2003187
9613,617753,617611,57.85480,9613,9613,11,'Store Torvegade',1,1,2,4,'','','','',7552,7552,3700,3700,407,8060,0,'',0,10,2,1.996,'','','',10323895,'01/31/01',2003215
16228,672012,672091,577.42149,16228,16228,10,'Magleh�j Strandvej',19,131,2,70,'','','','',7631,7631,4983,4983,381,4100,0,'',0,0,10,3.984,'','','',10857427,'06/07/01',1108792
16231,672000,672008,45.76356,16231,16231,10,'Magleh�j Strandvej',5,7,0,0,'','','','',7631,7631,4983,4983,381,4100,0,'',0,0,10,0.316,'','','',10857427,'06/07/01',1109171
16232,672008,672012,35.77596,16232,16232,10,'Magleh�j Strandvej',9,17,0,0,'','','','',7631,7631,4983,4983,381,4100,0,'',0,0,10,0.247,'','','',10857427,'06/07/01',1109172
18690,669675,669165,617.57210,18690,18690,10,'Pr�stevejen',0,0,0,0,'','','','',7583,7583,4800,4800,391,6465,0,'',0,0,10,4.261,'','','',10187984,'04/10/02',1113186
19096,669488,669454,24.56220,19096,19096,11,'Torvet',2,6,1,5,'','','','',7578,7578,4800,4800,369,8960,0,'',0,10,2,0.847,'','','',10320436,'03/23/01',4117594
19097,669697,669702,82.11812,19097,19097,11,'Store Kirkestr�de',1,15,2,12,'','Z','','',7578,7578,4800,4800,369,7530,0,'',0,10,2,2.833,'','','',10320400,'03/06/01',4117633
19100,669702,669706,8.56052,19100,19100,11,'Store Kirkestr�de',17,17,0,0,'','','','',7578,7578,4800,4800,369,7530,0,'',0,10,2,0.295,'','','',10320400,'03/06/01',4117641
19111,669488,669638,165.43034,19111,19111,11,'�sterg�gade',1,39,2,26,'A','','A','',7578,7578,4800,4800,369,9743,0,'',0,10,2,5.707,'','','',10320146,'03/06/01',4117661
19114,669446,669437,32.23009,19114,19114,11,'Torvet',9,9,0,0,'','','','',7578,7578,4800,4800,369,8960,0,'',0,10,2,1.112,'','','',10320436,'03/06/01',4117671
19222,669638,669656,141.54962,19222,19222,11,'Jernbanegade',1,19,2,12,'','','','',7578,7578,4800,4800,369,3940,0,'',0,10,2,4.883,'','','',10320274,'03/06/01',4117653
19223,669656,669698,104.08693,19223,19223,11,'Jernbanegade',21,27,14,26,'','C','','',7578,7578,4800,4800,369,3940,0,'',0,10,2,3.591,'','','',10320274,'03/06/01',4117654
19413,670372,670369,172.24279,19413,19413,10,'Kringelborg All�',23,25,0,0,'','','','',7578,7578,4800,4800,369,4587,0,'',0,0,10,1.188,'','','',10089059,'03/06/01',4117857
19481,670369,670324,484.56620,19481,19481,10,'S�nder Vedby Skovvej',1,9,0,0,'A','','','',7578,7578,4800,4800,369,6882,0,'',0,0,10,3.344,'','','',10874488,'03/06/01',4116806
19792,669446,669453,42.41353,19792,19792,11,'Torvet',12,16,11,13,'','','','',7578,7578,4800,4800,369,8960,0,'',0,10,2,1.463,'','','',10320436,'01/21/02',4117670
20560,665702,665718,56.88333,20560,20560,11,'S�ndergade',17,25,16,22,'','','','',7670,7670,4900,4900,367,8254,0,'',0,10,2,1.962,'','','',10319832,'06/07/99',1097653
20571,665731,665714,46.45304,20571,20571,11,'S�ndergade',51,55,42,42,'','','','',7670,7670,4900,4900,367,8254,0,'',0,10,2,1.603,'','','',10319832,'06/07/99',1097914
20581,665718,665731,92.82486,20581,20581,11,'S�ndergade',27,49,24,40,'','','','',7670,7670,4900,4900,367,8254,0,'',0,10,2,3.202,'','','',10319832,'06/07/99',1098297
20868,665683,665678,5.82298,20868,20868,11,'S�ndergade',0,0,1,1,'','','','',7670,7670,4900,4900,367,8254,0,'',0,10,2,0.201,'','','',10319832,'06/07/99',1097654
20880,665683,665702,71.92533,20880,20880,11,'S�ndergade',3,15,2,14,'','','','',7670,7670,4900,4900,367,8254,0,'',0,10,2,2.481,'','','',10319832,'06/07/99',1098282
23440,668538,668829,566.72410,23440,23440,10,'N�rremosevej',3,3,0,0,'','','','',7665,7665,4930,4930,363,5620,0,'',0,0,10,3.910,'','','',10861806,'',1094661
23441,668877,668829,589.79512,23441,23441,10,'N�rremosevej',0,0,9,9,'','','','',7665,7665,4930,4930,363,5620,0,'',0,0,10,4.070,'','','',10861806,'',1095291
