11395,662061,661966,393.28161,11395,11395,2,'Spodsbjergvej',0,0,0,0,'','','','',7674,7674,4912,4912,379,7760,1,'9',0,0,90,0.302,'','','',10884277,'',1107599
17438,662702,662765,678.03189,17438,17438,2,'Spodsbjergvej',0,0,0,0,'','','','',7671,7671,4900,4900,367,7430,1,'9',0,0,90,0.520,'','','',10884277,'04/19/00',4090890
17439,662688,662702,958.96101,17439,17439,2,'Spodsbjergvej',0,0,0,0,'','','','',7671,7671,4900,4900,367,7430,1,'9',0,0,90,0.735,'','','',10884277,'04/19/00',4090889
17440,661966,662557,3259.01926,17440,17440,2,'Spodsbjergvej',0,0,0,0,'','','','',7674,7674,4912,4912,379,7760,1,'9',0,0,90,2.499,'','','0101',10884277,'09/26/01',1108358
17442,662557,662688,1051.95259,17442,17442,2,'Spodsbjergvej',0,0,0,0,'','','','',7674,7674,4912,4912,379,7760,1,'9',0,0,90,0.806,'','0101','',10884277,'09/26/01',4118805
17465,662765,662845,293.77015,17465,17465,2,'Spodsbjergvej',0,0,0,0,'','','','',7670,7670,4900,4900,367,7430,1,'9',0,0,90,0.225,'','','',10884277,'04/17/00',1098411
17466,662845,663081,822.37558,17466,17466,2,'Spodsbjergvej',0,0,0,0,'','','','',7670,7670,4900,4900,367,7430,1,'9',0,0,90,0.630,'','','001',10884277,'10/30/00',1097984
21085,665552,665420,213.35320,21085,21085,2,'Motortrafikvej E47',0,0,0,0,'','','','',7594,7594,4990,4990,387,9999,1,'E47',0,0,90,0.164,'tf','','',0,'11/12/01',1111258
21086,665420,665315,368.90679,21086,21086,2,'Motortrafikvej E47',0,0,0,0,'','','','',7594,7594,4990,4990,387,9999,1,'E47',0,0,90,0.283,'tf','','',0,'11/12/01',1111259
21087,665315,665430,277.39754,21087,21087,2,'Motortrafikvej E47',0,0,0,0,'','','','',7594,7594,4990,4990,387,8420,1,'E47',0,0,90,0.213,'','','',0,'11/12/01',1111608
21110,664944,665035,532.48785,21110,21110,2,'Motortrafikvej E47',0,0,0,0,'','','','',7594,7594,4862,4862,387,8420,1,'E47',0,0,90,0.408,'','','',0,'11/12/01',1111222
